full_address,latitude,longitude
"HOUGANG, HOUGANG AVE 5, block 319, Singapore",1.3657728,103.8968222
"JURONG WEST, JURONG WEST ST 64, block 677C, Singapore",1.3452615,103.7047473
"CLEMENTI, CLEMENTI AVE 3, block 456, Singapore",1.3119692,103.7669877
"BEDOK, LENGKONG TIGA, block 111, Singapore",1.3241484,103.9109099
"WOODLANDS, WOODLANDS CIRCLE, block 727, Singapore",1.4437122,103.7997886
"SENGKANG, FERNVALE RD, block 435B, Singapore",1.393283,103.876665
"MARINE PARADE, MARINE TER, block 1, Singapore",1.3048365,103.918528
"TOA PAYOH, LOR 1 TOA PAYOH, block 173, Singapore",1.3300285,103.8425258
"TAMPINES, TAMPINES CTRL 7, block 515C, Singapore",1.3569428,103.9390423
"HOUGANG, HOUGANG AVE 1, block 115, Singapore",1.3527849,103.88785
"CLEMENTI, CLEMENTI AVE 5, block 345, Singapore",1.3176612,103.7692645
"CLEMENTI, CLEMENTI WEST ST 1, block 608, Singapore",1.3044802,103.7659885
"ANG MO KIO, ANG MO KIO AVE 5, block 180, Singapore",1.3767768,103.8390824
"HOUGANG, HOUGANG AVE 8, block 649, Singapore",1.3723818,103.8805319
"WOODLANDS, WOODLANDS DR 14, block 501, Singapore",1.432867,103.7920096
"ANG MO KIO, ANG MO KIO AVE 3, block 213, Singapore",1.3677946,103.8412524
"YISHUN, YISHUN AVE 2, block 784, Singapore",1.4217494,103.8334055
"BUKIT BATOK, BT BATOK WEST AVE 6, block 192, Singapore",1.345624,103.7447828
"YISHUN, YISHUN ST 22, block 266, Singapore",1.4369938,103.8387094
"HOUGANG, HOUGANG AVE 5, block 306, Singapore",1.3671963,103.8955047
"GEYLANG, CIRCUIT RD, block 44, Singapore",1.3266374,103.8862337
"BEDOK, BEDOK NTH RD, block 707, Singapore",1.3354278,103.9192035
"BUKIT BATOK, BT BATOK EAST AVE 6, block 292B, Singapore",1.3448349,103.7539276
"YISHUN, YISHUN ST 71, block 719, Singapore",1.4268713,103.8291409
"YISHUN, YISHUN AVE 11, block 424C, Singapore",1.4230829,103.8493514
"YISHUN, YISHUN AVE 1, block 432C, Singapore",1.4195152,103.8460275
"QUEENSTOWN, DAWSON RD, block 89, Singapore",1.2954401,103.8117924
"SERANGOON, SERANGOON CTRL, block 424, Singapore",1.3481577,103.8755982
"TAMPINES, TAMPINES ST 23, block 215, Singapore",1.3546581,103.9532166
"GEYLANG, EUNOS CRES, block 20, Singapore",1.324714,103.9031931
"WOODLANDS, WOODLANDS ST 13, block 105, Singapore",1.4368599,103.7815858
"CHOA CHU KANG, CHOA CHU KANG AVE 3, block 284, Singapore",1.3797981,103.7424026
"TOA PAYOH, LOR 5 TOA PAYOH, block 54, Singapore",1.3373801,103.8502901
"WOODLANDS, MARSILING DR, block 33, Singapore",1.4435705,103.7720809
"SENGKANG, ANCHORVALE CRES, block 334C, Singapore",1.397464,103.8898129
"CENTRAL AREA, CANTONMENT RD, block 1G, Singapore",1.2756629,103.8412706
"GEYLANG, CIRCUIT RD, block 66, Singapore",1.3265307,103.8876604
"JURONG WEST, JURONG WEST ST 73, block 749, Singapore",1.3481236,103.6979878
"CENTRAL AREA, CANTONMENT RD, block 1B, Singapore",1.2779525,103.8413917
"JURONG WEST, JURONG WEST ST 93, block 989B, Singapore",1.3358932,103.6948326
"JURONG EAST, JURONG EAST AVE 1, block 334, Singapore",1.3506817,103.731673
"PUNGGOL, PUNGGOL FIELD, block 175B, Singapore",1.3977114,103.9085142
"JURONG WEST, YUAN CHING RD, block 138D, Singapore",1.3284548,103.7233281
"WOODLANDS, MARSILING DR, block 11, Singapore",1.440383,103.7779913
"JURONG WEST, BOON LAY DR, block 181B, Singapore",1.3488528,103.7085238
"BEDOK, BEDOK NTH ST 4, block 89, Singapore",1.3257849,103.9294412
"ANG MO KIO, ANG MO KIO AVE 1, block 310A, Singapore",1.3650552,103.8438088
"HOUGANG, HOUGANG AVE 10, block 458, Singapore",1.3779087,103.8962916
"TAMPINES, TAMPINES ST 34, block 369, Singapore",1.3583332,103.9600385
"KALLANG/WHAMPOA, WHAMPOA DR, block 100, Singapore",1.3207842,103.854355
"HOUGANG, HOUGANG AVE 10, block 420, Singapore",1.3758553,103.8948698
"CLEMENTI, CLEMENTI WEST ST 1, block 607, Singapore",1.3042478,103.767773
"BUKIT PANJANG, SENJA LINK, block 650, Singapore",1.3870671,103.7632476
"BISHAN, BISHAN ST 13, block 170, Singapore",1.3464656,103.8535901
"ANG MO KIO, ANG MO KIO AVE 10, block 437, Singapore",1.3673629,103.8531402
"PUNGGOL, EDGEDALE PLAINS, block 130, Singapore",1.3933978,103.9096788
"PUNGGOL, PUNGGOL WAY, block 266D, Singapore",1.4050262,103.8980367
"BEDOK, BEDOK RESERVOIR RD, block 145, Singapore",1.3343624,103.9121
"PASIR RIS, PASIR RIS ST 11, block 184, Singapore",1.3643456,103.9613008
"YISHUN, YISHUN AVE 11, block 348A, Singapore",1.4273134,103.8414619
"BEDOK, BEDOK NTH AVE 1, block 423, Singapore",1.3284637,103.9350757
"SENGKANG, FERNVALE LANE, block 403B, Singapore",1.3886912,103.872987
"SEMBAWANG, ADMIRALTY DR, block 354D, Singapore",1.4509175,103.8187379
"JURONG WEST, JURONG WEST ST 42, block 559, Singapore",1.3544659,103.7186669
"SENGKANG, FERNVALE RD, block 410C, Singapore",1.3900559,103.8764023
"CHOA CHU KANG, TECK WHYE LANE, block 16, Singapore",1.3787335,103.7551205
"BUKIT BATOK, BT BATOK WEST AVE 8, block 443B, Singapore",1.3560855,103.7376586
"SENGKANG, COMPASSVALE CRES, block 293C, Singapore",1.3968247,103.8954154
"PUNGGOL, PUNGGOL DR, block 663C, Singapore",1.4004216,103.9175699
"SERANGOON, SERANGOON NTH AVE 4, block 521, Singapore",1.3646834,103.8722097
"JURONG WEST, BOON LAY PL, block 208, Singapore",1.3471712,103.7145796
"WOODLANDS, WOODLANDS RISE, block 784C, Singapore",1.4459019,103.8053023
"PUNGGOL, PUNGGOL DR, block 665B, Singapore",1.4018256,103.9141614
"CLEMENTI, CLEMENTI AVE 1, block 416, Singapore",1.3104932,103.7715149
"TOA PAYOH, LOR 6 TOA PAYOH, block 52, Singapore",1.3380164,103.8519996
"QUEENSTOWN, DOVER CRES, block 19, Singapore",1.3078215,103.7836392
"WOODLANDS, MARSILING DR, block 205, Singapore",1.4449885,103.7734622
"KALLANG/WHAMPOA, UPP BOON KENG RD, block 13, Singapore",1.3145976,103.8704858
"TAMPINES, TAMPINES ST 33, block 346, Singapore",1.3511261,103.9623945
"JURONG EAST, JURONG EAST ST 24, block 243, Singapore",1.3429127,103.7434727
"KALLANG/WHAMPOA, BOON KENG RD, block 8, Singapore",1.3164572,103.8616186
"KALLANG/WHAMPOA, UPP BOON KENG RD, block 11, Singapore",1.3142309,103.87094
"ANG MO KIO, ANG MO KIO AVE 4, block 607, Singapore",1.3803646,103.8387898
"TAMPINES, TAMPINES CTRL 7, block 523B, Singapore",1.3600162,103.9384406
"JURONG EAST, JURONG EAST AVE 1, block 340, Singapore",1.350317,103.7307732
"ANG MO KIO, ANG MO KIO AVE 4, block 629, Singapore",1.3801351,103.8404202
"HOUGANG, HOUGANG AVE 8, block 504, Singapore",1.3733992,103.8881483
"JURONG EAST, TEBAN GDNS RD, block 55, Singapore",1.3218541,103.7373988
"KALLANG/WHAMPOA, JLN BATU, block 10, Singapore",1.3020744,103.8828688
"BEDOK, BEDOK NTH RD, block 79, Singapore",1.327681,103.940765
"BUKIT BATOK, BT BATOK ST 24, block 291E, Singapore",1.343427,103.7547702
"PUNGGOL, PUNGGOL CTRL, block 301B, Singapore",1.4042905,103.9058929
"WOODLANDS, WOODLANDS CIRCLE, block 739, Singapore",1.4442397,103.7969989
"WOODLANDS, WOODLANDS ST 31, block 302, Singapore",1.4318415,103.7744066
"PASIR RIS, PASIR RIS ST 71, block 767, Singapore",1.3756855,103.9358781
"KALLANG/WHAMPOA, MCNAIR RD, block 108C, Singapore",1.3199364,103.8594664
"WOODLANDS, WOODLANDS ST 83, block 857, Singapore",1.440421,103.7939085
"QUEENSTOWN, HOLLAND DR, block 11, Singapore",1.309007,103.7940607
"BUKIT PANJANG, GANGSA RD, block 103, Singapore",1.3787363,103.7685302
"CHOA CHU KANG, CHOA CHU KANG AVE 7, block 810A, Singapore",1.3745825,103.7460991
"KALLANG/WHAMPOA, WHAMPOA WEST, block 34, Singapore",1.3203364,103.8627296
"BEDOK, CHAI CHEE RD, block 19, Singapore",1.3275221,103.9222387
"PUNGGOL, PUNGGOL WALK, block 271D, Singapore",1.4034933,103.9008293
"PUNGGOL, PUNGGOL RD, block 195D, Singapore",1.401519,103.9070434
"ANG MO KIO, ANG MO KIO AVE 6, block 720, Singapore",1.3718126,103.8469791
"BUKIT BATOK, BT BATOK WEST AVE 7, block 406, Singapore",1.3651962,103.745901
"BUKIT PANJANG, LOMPANG RD, block 176, Singapore",1.3792794,103.7658726
"JURONG WEST, YUNG KUANG RD, block 166B, Singapore",1.3312594,103.722367
"PUNGGOL, PUNGGOL WALK, block 211B, Singapore",1.40128,103.899656
"BUKIT PANJANG, SAUJANA RD, block 416, Singapore",1.3832393,103.7684393
"PASIR RIS, PASIR RIS DR 6, block 476, Singapore",1.3752438,103.9582605
"TOA PAYOH, TOA PAYOH NTH, block 200, Singapore",1.3413981,103.8511091
"WOODLANDS, WOODLANDS DR 44, block 549, Singapore",1.4320412,103.7944456
"SENGKANG, SENGKANG EAST WAY, block 325C, Singapore",1.3932952,103.8912948
"CENTRAL AREA, JLN KUKOH, block 9, Singapore",1.2876433,103.8386354
"TAMPINES, TAMPINES ST 81, block 895, Singapore",1.3479204,103.9313535
"HOUGANG, HOUGANG CTRL, block 851, Singapore",1.3701289,103.8937042
"TOA PAYOH, LOR 1 TOA PAYOH, block 158, Singapore",1.3315331,103.8450059
"BEDOK, BEDOK RESERVOIR CRES, block 748A, Singapore",1.336359,103.9211067
"SENGKANG, FERNVALE RD, block 445A, Singapore",1.392091,103.87442
"SENGKANG, COMPASSVALE LINK, block 275D, Singapore",1.3827822,103.8940567
"PASIR RIS, PASIR RIS DR 6, block 416, Singapore",1.3716721,103.9556025
"TOA PAYOH, LOR 1A TOA PAYOH, block 138B, Singapore",1.3363635,103.8456043
"TAMPINES, TAMPINES ST 84, block 883, Singapore",1.351834,103.9329156
"JURONG WEST, JURONG WEST ST 61, block 624, Singapore",1.3409511,103.6976339
"WOODLANDS, WOODLANDS CIRCLE, block 765, Singapore",1.4458814,103.796816
"CHOA CHU KANG, CHOA CHU KANG AVE 3, block 281, Singapore",1.3805676,103.7424479
"QUEENSTOWN, STRATHMORE AVE, block 49, Singapore",1.2941213,103.8083374
"CHOA CHU KANG, CHOA CHU KANG DR, block 688A, Singapore",1.4038586,103.7506084
"PUNGGOL, PUNGGOL FIELD, block 173D, Singapore",1.3958472,103.9108489
"TOA PAYOH, LOR 2 TOA PAYOH, block 145, Singapore",1.3352206,103.8461698
"SENGKANG, ANCHORVALE RD, block 326B, Singapore",1.3953377,103.8880254
"ANG MO KIO, ANG MO KIO ST 21, block 260A, Singapore",1.3693737,103.8340217
"GEYLANG, UBI AVE 1, block 347, Singapore",1.3256486,103.8997342
"BEDOK, BEDOK NTH ST 3, block 547, Singapore",1.3256355,103.9295201
"TAMPINES, TAMPINES AVE 9, block 486C, Singapore",1.3591536,103.9573699
"TAMPINES, TAMPINES ST 72, block 719, Singapore",1.3588128,103.9361693
"JURONG WEST, JURONG WEST ST 91, block 934, Singapore",1.3422393,103.6887044
"SENGKANG, SENGKANG WEST WAY, block 450B, Singapore",1.393948,103.873277
"BEDOK, BEDOK NTH ST 4, block 187B, Singapore",1.3257849,103.9294412
"SENGKANG, RIVERVALE CRES, block 184B, Singapore",1.3922509,103.9073299
